Annual,AMean,AMedian,APct10,APct25,APct75,APct90,computerizationprob,EmpPrse,Hourly,HMean,HMedian,HPct10,HPct25,HPct75,HPct90,MeanPrse,NumberofRecords,OccCode,OccGroup,occtitle,occupation,soc10,TotEmp
,29910,27880,19770,22670,35340,"44,310",0.81,3.9,,14.38,13.41,9.51,10.9,16.99,21.3,0.9,1,51-9192,detailed,"Cleaning, Washing, and Metal Pickling Equipment Operators and Tenders",Cleaning,51-9192,17420
,31490,28630,19690,23100,38080,"49,120",0.93,5.1,,15.14,13.76,9.47,11.11,18.31,23.61,1.8,1,51-9193,detailed,Cooling and Freezing Equipment Operators and Tenders,Cooling and Freezing Equipment Operators and Tenders,51-9193,7970
,31880,29810,19680,23500,38300,"47,800",0.98,5.3,,15.33,14.33,9.46,11.3,18.41,22.98,1.5,1,51-9194,detailed,Etchers and Engravers,Etchers and Engravers,51-9194,9490
,31690,29630,19800,23610,37390,"47,330",0.9,3.1,,15.24,14.24,9.52,11.35,17.98,22.76,0.8,1,51-9195,detailed,"Molders, Shapers, and Casters, Except Metal and Plastic",Molders,51-9195,38730
,37160,35710,21140,27420,45610,"56,560",0.67,2.2,,17.87,17.17,10.16,13.18,21.93,27.19,1.1,1,51-9196,detailed,"Paper Goods Machine Setters, Operators, and Tenders",Paper Goods Machine Setters,51-9196,91400
,40230,39120,24950,29720,51220,"58,660",0.94,6.6,,19.34,18.81,11.99,14.29,24.63,28.2,2.3,1,51-9197,detailed,Tire Builders,Tire Builders,51-9197,17710
,26010,23960,17930,19860,30230,"37,760",0.66,1.6,,12.5,11.52,8.62,9.55,14.53,18.15,0.4,1,51-9198,detailed,Helpers--Production Workers,Helpers–Production Workers,51-9198,439000
,48870,45470,29080,35110,60050,"75,630",0.066,6.3,,23.5,21.86,13.98,16.88,28.87,36.36,1.3,1,53-1011,detailed,Aircraft Cargo Handling Supervisors,Aircraft Cargo Handling Supervisors,53-1011,6760
,49670,46960,28630,35970,60570,"76,040",0.42,0.9,,23.88,22.58,13.76,17.3,29.12,36.56,0.3,1,53-1021,detailed,"First-Line Supervisors of Helpers, Laborers, and Material Movers, Hand",First-Line Supervisors of Helpers,53-1021,176030
,58470,55860,32990,42540,71510,"88,280",0.029,0.7,,28.11,26.85,15.86,20.45,34.38,42.44,0.4,1,53-1031,detailed,First-Line Supervisors of Transportation and Material-Moving Machine and Vehicle Operators,First-Line Supervisors of Transportation and Material-Moving Machine and Vehicle Operators,53-1031,203550
TRUE,136400,117290,60770,85730,163130,#,0.18,5.2,,*,*,*,*,*,*,3.2,1,53-2011,detailed,"Airline Pilots, Copilots, and Flight Engineers",Airline Pilots,53-2011,81350
TRUE,84510,76150,34800,53330,105810,"147,890",0.55,3.5,,*,*,*,*,*,*,1.9,1,53-2012,detailed,Commercial Pilots,Commercial Pilots,53-2012,39760
,118740,122950,66780,86330,150120,"172,590",0.11,1.6,,57.09,59.11,32.1,41.5,72.17,82.97,0.5,1,53-2021,detailed,Air Traffic Controllers,Air Traffic Controllers,53-2021,23130
,55400,51880,26340,35880,68540,"95,330",0.71,4.8,,26.64,24.94,12.66,17.25,32.95,45.83,2.4,1,53-2022,detailed,Airfield Operations Specialists,Airfield Operations Specialists,53-2022,7920
TRUE,46750,44860,25930,36260,55260,"72,090",0.35,6,,*,*,*,*,*,*,2,1,53-2031,detailed,Flight Attendants,Flight Attendants,53-2031,108510
,25470,23740,18190,20230,29130,"36,000",0.25,5.1,,12.25,11.41,8.74,9.73,14.01,17.31,1.5,1,53-3011,detailed,"Ambulance Drivers and Attendants, Except Emergency Medical Technicians",Ambulance Drivers and Attendants,53-3011,19950
,40160,38290,22310,28090,50580,"62,240",0.67,2.2,,19.31,18.41,10.73,13.51,24.32,29.92,2.2,1,53-3021,detailed,"Bus Drivers, Transit and Intercity",Bus Drivers,53-3021,168620
,30580,29490,18210,22310,37260,"45,670",0.89,0.9,,14.7,14.18,8.76,10.72,17.91,21.96,0.5,1,53-3022,detailed,"Bus Drivers, School or Special Client",Bus Drivers,53-3022,505560
,27890,22450,17310,18740,34540,"47,410",0.98,1.7,,13.41,10.79,8.32,9.01,16.61,22.79,0.6,1,53-3031,detailed,Driver/Sales Workers,Driver/Sales Workers,53-3031,417660
,42500,40260,26240,32670,50190,"62,010",0.79,0.6,,20.43,19.36,12.62,15.71,24.13,29.81,0.2,1,53-3032,detailed,Heavy and Tractor-Trailer Truck Drivers,Heavy and Tractor-Trailer Truck Drivers,53-3032,1678280
,34080,29850,18860,22390,40110,"60,350",0.69,0.9,,16.38,14.35,9.07,10.76,19.28,29.01,0.3,1,53-3033,detailed,Light Truck or Delivery Services Drivers,Light Truck or Delivery Services Drivers ,53-3033,826510
,26070,23510,17830,19630,29840,"37,970",0.89,1.4,,12.53,11.3,8.57,9.44,14.35,18.25,0.6,1,53-3041,detailed,Taxi Drivers and Chauffeurs,Taxi Drivers and Chauffeurs,53-3041,180960
,59360,56240,40490,46650,66740,"82,310",0.96,7,,28.54,27.04,19.47,22.43,32.09,39.57,1.8,1,53-4011,detailed,Locomotive Engineers,Locomotive Engineers,53-4011,37490
,54540,48470,35840,42550,62220,"90,590",0.93,33.3,,26.22,23.3,17.23,20.46,29.91,43.55,6.3,1,53-4012,detailed,Locomotive Firers,Locomotive Firers,53-4012,1610
,47600,45780,24720,36590,56370,"71,800",0.91,13.5,,22.88,22.01,11.88,17.59,27.1,34.52,4.1,1,53-4013,detailed,"Rail Yard Engineers, Dinkey Operators, and Hostlers",Rail Yard Engineers,53-4013,4460
,53990,54020,38230,44530,62640,"72,950",0.83,7.4,,25.96,25.97,18.38,21.41,30.12,35.07,1.1,1,53-4021,detailed,"Railroad Brake, Signal, and Switch Operators",Railroad Brake,53-4021,18970
,56760,55930,38450,45630,66630,"77,940",0.83,6,,27.29,26.89,18.49,21.94,32.03,37.47,1.3,1,53-4031,detailed,Railroad Conductors and Yardmasters,Railroad Conductors and Yardmasters,53-4031,42330
,60580,62360,42120,50980,72780,"78,440",0.86,5.4,,29.12,29.98,20.25,24.51,34.99,37.71,3.6,1,53-4041,detailed,Subway and Streetcar Operators,Subway and Streetcar Operators,53-4041,12600
,42910,41260,22440,29980,53290,"66,190",0.83,4,,20.63,19.84,10.79,14.41,25.62,31.82,1.6,1,53-5011,detailed,Sailors and Marine Oilers,Sailors and Marine Oilers,53-5011,30570
,83150,76780,38310,53450,104440,"134,950",0.27,3.7,,39.98,36.91,18.42,25.69,50.21,64.88,2.1,1,53-5021,detailed,"Captains, Mates, and Pilots of Water Vessels",Captains,53-5021,33110
,41350,36800,19390,24280,58730,"70,620",0.62,15,,19.88,17.69,9.32,11.67,28.24,33.95,4.1,1,53-5022,detailed,Motorboat Operators,Motorboat Operators,53-5022,3650
,78970,72870,38570,50310,98120,"132,990",0.041,6,,37.97,35.03,18.54,24.19,47.17,63.94,4,1,53-5031,detailed,Ship Engineers,Ship Engineers,53-5031,9940
,45980,48520,26400,36520,55100,"60,350",0.97,3.3,,22.1,23.33,12.69,17.56,26.49,29.02,1,1,53-6011,detailed,Bridge and Lock Tenders,Bridge and Lock Tenders,53-6011,3170
,22520,20630,17550,18870,24450,"30,340",0.87,2.2,,10.83,9.92,8.44,9.07,11.76,14.58,0.6,1,53-6021,detailed,Parking Lot Attendants,Parking Lot Attendants,53-6021,144150
,23440,21560,17550,18960,26000,"32,420",0.83,2.5,,11.27,10.36,8.44,9.11,12.5,15.59,0.5,1,53-6031,detailed,Automotive and Watercraft Service Attendants,Automotive and Watercraft Service Attendants,53-6031,109710
,47660,43930,27360,34080,60620,"75,030",0.9,3,,22.92,21.12,13.16,16.38,29.14,36.07,2.2,1,53-6041,detailed,Traffic Technicians,Traffic Technicians,53-6041,6750
,72220,70820,34420,50200,92840,"115,970",0.9,3,,34.72,34.05,16.55,24.13,44.63,55.76,1.7,1,53-6051,detailed,Transportation Inspectors,Transportation Inspectors,53-6051,25860
,30540,25930,18110,19680,35180,"54,800",0.75,7.1,,14.68,12.47,8.71,9.46,16.91,26.35,3.8,1,53-6061,detailed,"Transportation Attendants, Except Flight Attendants",Transportation Attendants,53-6061,15680
,35100,32050,21770,26410,41880,"54,820",0.93,2.8,,16.88,15.41,10.47,12.7,20.14,26.36,1,1,53-7011,detailed,Conveyor Operators and Tenders,Conveyor Operators and Tenders,53-7011,32890
,54560,51650,31410,39310,66050,"82,760",0.9,2.9,,26.23,24.83,15.1,18.9,31.76,39.79,1.2,1,53-7021,detailed,Crane and Tower Operators,Crane and Tower Operators,53-7021,46490
,44040,40060,25760,32910,53070,"67,690",0.92,8.8,,21.18,19.26,12.38,15.82,25.51,32.54,2.6,1,53-7031,detailed,Dredge Operators,Dredge Operators,53-7031,1850
,44520,40050,26670,32700,52990,"70,050",0.94,3,,21.41,19.26,12.82,15.72,25.48,33.68,1.4,1,53-7032,detailed,Excavating and Loading Machine and Dragline Operators,Excavating and Loading Machine and Dragline Operators ,53-7032,49880
,49740,52320,28820,38700,60000,"67,050",0.5,12.7,,23.91,25.15,13.85,18.61,28.85,32.24,1.6,1,53-7033,detailed,"Loading Machine Operators, Underground Mining",Loading Machine Operators,53-7033,3210
