occ00,soc10,,,,,,,,,,,,
770,51-1011,,,,,,,,,,,,
771,51-2011,,,,,,,,,,,,
772,51-2020,,,,,,,,,,,,
773,51-2031,,,,,,,,,,,,
774,51-2041,,,,,,,,,,,,
775,51-2090,,,,,,,,,,,,
780,51-3011,,,,,,,,,,,,
781,51-3020,,,,,,,,,,,,
783,51-3091,,,,,,,,,,,,
784,51-3092,,,,,,,,,,,,
785,51-3093,,,,,,,,,,,,
790,51-4010,,,,,,,,,,,,
792,51-4021,,,,,,,,,,,,
793,51-4022,,,,,,,,,,,,
794,51-4023,,,,,,,,,,,,
795,51-4031,,,,,,,,,,,,
796,51-4032,,,,,,,,,,,,
800,51-4033,,,,,,,,,,,,
801,51-4034,,,,,,,,,,,,
802,51-4035,,,,,,,,,,,,
803,51-4041,,,,,,,,,,,,
804,51-4050,,,,,,,,,,,,
806,51-4060,,,,,,,,,,,,
810,51-4070,,,,,,,,,,,,
812,51-4081,,,,,,,,,,,,
813,51-4111,,,,,,,,,,,,
814,51-4120,,,,,,,,,,,,
815,51-4191,,,,,,,,,,,,
816,51-4192,,,,,,,,,,,,
820,51-4193,,,,,,,,,,,,
821,51-4194,,,,,,,,,,,,
822,51-4199,,,,,,,,,,,,
823,51-5010,,,,,,,,,,,,
824,51-5021,,,,,,,,,,,,
825,51-5022,,,,,,,,,,,,
826,51-5023,,,,,,,,,,,,
830,51-6011,,,,,,,,,,,,
831,51-6021,,,,,,,,,,,,
832,51-6031,,,,,,,,,,,,
833,51-6041,,,,,,,,,,,,
834,51-6042,,,,,,,,,,,,
835,51-6050,,,,,,,,,,,,
836,51-6061,,,,,,,,,,,,
840,51-6062,,,,,,,,,,,,
841,51-6063,,,,,,,,,,,,
842,51-6064,,,,,,,,,,,,
843,51-6091,,,,,,,,,,,,
844,51-6092,,,,,,,,,,,,
845,51-6093,,,,,,,,,,,,
846,51-6099,,,,,,,,,,,,
850,51-7011,,,,,,,,,,,,
851,51-7021,,,,,,,,,,,,
852,51-7030,,,,,,,,,,,,
853,51-7041,,,,,,,,,,,,
854,51-7042,,,,,,,,,,,,
855,51-7099,,,,,,,,,,,,
860,51-8010,,,,,,,,,,,,
861,51-8021,,,,,,,,,,,,
862,51-8031,,,,,,,,,,,,
863,51-8090,,,,,,,,,,,,
864,51-9010,,,,,,,,,,,,
865,51-9020,,,,,,,,,,,,
871,51-9030,,,,,,,,,,,,
872,51-9041,,,,,,,,,,,,
873,51-9051,,,,,,,,,,,,
874,51-9061,,,,,,,,,,,,
875,51-9071,,,,,,,,,,,,
876,51-9080,,,,,,,,,,,,
880,51-9111,,,,,,,,,,,,
881,51-9120,,,,,,,,,,,,
883,51-9130,,,,,,,,,,,,
884,51-9141,,,,,,,,,,,,
885,51-9191,,,,,,,,,,,,
886,51-9192,,,,,,,,,,,,
890,51-9193,,,,,,,,,,,,
891,51-9194,,,,,,,,,,,,
892,51-9195,,,,,,,,,,,,
893,51-9196,,,,,,,,,,,,
894,51-9197,,,,,,,,,,,,
895,51-9198,,,,,,,,,,,,
896,51-9199,,,,,,,,,,,,
900,53-1000,,,,,,,,,,,,
903,53-2010,,,,,,,,,,,,
904,53-2020,,,,,,,,,,,,
911,53-3011,,,,,,,,,,,,
912,53-3020,,,,,,,,,,,,
913,53-3030,,,,,,,,,,,,
914,53-3041,,,,,,,,,,,,
915,53-3099,,,,,,,,,,,,
920,53-4010,,,,,,,,,,,,
923,53-4021,,,,,,,,,,,,
924,53-4031,,,,,,,,,,,,
926,53-4041,,,,,,,,,,,,
926,53-4099,,,,,,,,,,,,
930,53-5011,,,,,,,,,,,,
931,53-5020,,,,,,,,,,,,
933,53-5031,,,,,,,,,,,,
934,53-6011,,,,,,,,,,,,
935,53-6021,,,,,,,,,,,,
936,53-6031,,,,,,,,,,,,
941,53-6051,,,,,,,,,,,,
942,53-6041,,,,,,,,,,,,
942,53-6099,,,,,,,,,,,,
950,53-7011,,,,,,,,,,,,
951,53-7021,,,,,,,,,,,,
952,53-7030,,,,,,,,,,,,
956,53-7041,,,,,,,,,,,,
960,53-7051,,,,,,,,,,,,
961,53-7061,,,,,,,,,,,,
962,53-7062,,,,,,,,,,,,
963,53-7063,,,,,,,,,,,,
964,53-7064,,,,,,,,,,,,
965,53-7070,,,,,,,,,,,,
972,53-7081,,,,,,,,,,,,
973,53-7111,,,,,,,,,,,,
974,53-7121,,,,,,,,,,,,
975,53-7199,,,,,,,,,,,,
980,55-1010,,,,,,,,,,,,
981,55-2010,,,,,,,,,,,,
982,55-3010,,,,,,,,,,,,
983,none,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
