year,klemsindid,grossoutputnom,capitalnom,labornom,intermediatenom,grossoutputcon,capitalcon,laborcon,intermediatecon
1983,4,41866.1,6879.9,12171.2,22815.0,76169.1,58879.5,22688.2,46264.8
1984,4,46834.1,8217.0,12762.1,25855.0,86775.5,57007.6,23949.5,51836.5
1985,4,44451.3,7276.6,12322.7,24852.0,83747.4,56129.2,23386.4,49312.5
1986,4,42719.1,6859.1,11278.9,24581.0,83372.0,54463.4,21667.8,49459.7
1987,4,43391.4,6534.3,11877.1,24980.0,83315.0,51408.3,21619.7,49049.6
1988,4,48601.0,9884.6,12362.3,26354.0,92666.2,49059.6,21676.6,49907.2
1989,4,49964.9,9823.9,12745.0,27396.0,93784.9,47992.1,22619.7,50293.7
1990,4,52576.9,9698.8,13393.1,29485.0,98479.5,46521.0,23711.6,52816.8
1991,4,53032.8,10441.2,12770.6,29821.0,102468.3,45273.8,22518.9,53423.5
1992,4,51841.5,10399.3,12668.2,28774.0,100496.4,44200.6,21306.9,51080.2
1993,4,48204.0,9440.2,12260.8,26503.0,97270.4,43848.4,20340.7,47024.5
1994,4,52590.2,11902.8,12820.4,27867.0,105014.7,45209.8,20135.5,48681.9
1995,4,53164.2,11356.3,13210.9,28597.0,102783.2,47653.7,20466.3,48287.0
1996,4,53185.9,11878.0,13241.9,28066.0,105785.0,50141.9,20224.3,47174.5
1997,4,54969.7,11512.9,14277.8,29179.0,111007.9,50915.9,19872.9,48869.5
1998,4,53991.7,13639.8,14456.9,25895.0,113183.1,50588.4,18914.7,43645.0
1999,4,51728.1,14403.7,13983.3,23341.0,110632.9,49187.6,17519.1,39229.9
2000,4,53359.1,14047.9,13508.2,25803.0,112325.2,47375.2,16862.8,41311.9
2001,4,53547.0,13575.0,13641.0,26331.0,111243.3,45411.1,16902.7,41247.9
2002,4,53347.8,14034.6,12731.1,26582.0,106330.7,43166.8,15301.3,40940.1
2003,4,55935.5,15663.9,12904.5,27367.0,106747.9,41165.3,14791.0,40385.2
2004,4,65947.9,19187.8,13879.1,32881.0,110708.4,40407.7,15980.6,44525.2
2005,4,82542.0,27372.9,14798.1,40371.0,116991.3,41154.9,16792.3,48532.2
2006,4,98011.8,34856.4,16103.4,47052.0,122560.8,43185.0,18011.3,52370.2
2007,4,101913.0,40035.9,16751.0,45126.0,118762.0,45379.1,18058.2,47911.6
2008,4,114767.0,43321.2,17923.8,53522.0,118330.1,47019.1,17972.3,50569.7
2009,4,102807.8,47956.8,16247.0,38604.0,102807.8,47956.8,16247.0,38604.0
2010,4,112620.6,58044.9,17152.6,37423.0,103907.0,48865.9,16294.7,35345.7
2011,4,133319.0,67549.1,18344.8,47425.0,111929.2,51237.5,17910.6,40816.1
2012,4,131140.1,60984.9,16755.2,53400.0,110215.7,55077.2,18229.1,45027.2
2013,4,123439.8,55988.5,15215.3,52236.0,108632.8,57797.1,17625.0,44346.3
2014,4,131674.6,55876.0,14662.6,61136.0,117531.6,59979.0,18353.1,52170.9
1947,5,1519.9,112.6,342.2,1065.0,16716.8,1181.9,15461.6,10654.3
1948,5,2062.7,104.4,564.2,1394.0,19233.2,1219.8,15869.3,12774.9
1949,5,2023.7,165.5,460.2,1398.0,18758.5,1285.5,13654.6,12435.5
1950,5,2373.7,242.1,453.6,1678.0,21479.3,1371.2,14307.0,14466.8
1951,5,2811.7,229.9,544.8,2037.0,23449.1,1432.5,14425.8,16156.4
1952,5,3188.7,266.5,540.2,2382.0,26251.7,1512.3,13858.6,18515.4
1953,5,3487.6,205.2,658.4,2624.0,27924.5,1660.9,13212.9,19784.4
1954,5,3729.5,244.1,676.4,2809.0,31193.7,1826.1,11523.4,20721.5
1955,5,4057.5,279.6,738.8,3039.0,32624.1,1974.5,11963.1,21567.0
1956,5,4246.5,344.8,734.7,3167.0,31461.0,2102.8,12625.2,21273.6
1957,5,4145.4,356.0,764.4,3025.0,30205.3,2253.1,12342.5,19691.4
1958,5,3752.4,322.9,747.5,2682.0,28668.0,2412.7,10670.6,17328.9
1959,5,3673.4,416.6,651.8,2605.0,28104.0,2563.7,10896.0,16402.2
1960,5,3114.2,289.6,772.7,2052.0,23865.2,2684.4,10305.6,12768.3
1961,5,2801.1,445.5,642.5,1713.0,21589.4,2807.2,10150.5,10674.2
1962,5,2679.1,535.3,575.8,1568.0,20494.9,2941.7,10008.9,9731.9
1963,5,2449.9,454.1,664.7,1331.0,18694.4,3103.5,9702.1,8300.6
1964,5,2627.9,438.7,708.2,1481.0,19559.0,3340.2,9692.1,9107.1
1965,5,2648.9,562.3,609.5,1477.0,19805.5,3626.4,9835.7,8920.2
1966,5,2665.7,472.1,737.6,1456.0,19369.4,3922.3,9843.6,8614.4
1967,5,2638.8,451.4,860.4,1327.0,19069.9,4221.1,9798.8,7684.3
1968,5,2781.8,661.1,733.7,1387.0,19850.6,4424.3,9582.3,7806.2
1969,5,3038.3,620.4,835.9,1582.0,21040.8,4594.3,9764.3,8550.0
1970,5,3022.4,711.5,824.9,1486.0,19998.3,4698.0,9645.2,7694.3
1971,5,2873.2,717.9,873.3,1282.0,18561.5,4750.3,9088.7,6490.8
1972,5,3324.0,643.3,991.7,1689.0,21496.6,4859.1,9031.0,8396.3
1973,5,3775.0,760.1,1176.9,1838.0,22126.6,5039.6,9340.6,8600.8
1974,5,5861.6,1168.1,1908.5,2785.0,26091.6,5217.8,10689.7,10870.0
1975,5,8008.1,764.2,2844.9,4399.0,28948.3,5382.7,11529.9,15423.2
1976,5,9386.9,935.7,3187.1,5264.0,31333.5,5581.9,12218.0,17594.2
1977,5,12510.4,1376.7,3420.7,7713.0,35797.4,5712.5,13951.2,24036.3
1978,5,16832.8,1964.8,4043.0,10825.0,40525.9,6255.4,16270.3,31253.6
1979,5,20782.6,1824.6,4550.0,14408.0,41832.4,7069.8,17681.3,37541.4
1980,5,29403.1,4597.9,5641.2,19164.0,56302.6,7219.1,22042.6,44295.5
1981,5,44608.0,10359.2,6420.8,27828.0,67620.0,8367.0,28366.5,58847.9
1982,5,47474.9,12900.8,6095.1,28479.0,62317.9,9531.0,27771.2,59352.3
